,team,opponent,wins,losses,avg_rushing_yards,avg_passing_yards,avg_rush_def_yards,avg_pass_def_yards,opponent_avg_rushing_yards,opponent_avg_passing_yards,opponent_avg_rush_def_yards,opponent_avg_pass_def_yards
133,Dolphins,Vikings,3,1,6.552,15.948,6.767,17.25,6.801,16.148,6.571,16.397
134,Dolphins,NaN,0,0,6.552,15.948,6.767,17.25,,,,
135,Dolphins,AFC Pro Bowl,0,0,6.552,15.948,6.767,17.25,,,,
136,Dolphins,NFC Pro Bowl,0,0,6.552,15.948,6.767,17.25,,,,
137,Ravens,Cowboys,0,3,6.848,15.508,6.167,16.426,7.215,16.457,6.78,16.594
138,Ravens,Panthers,2,3,6.848,15.508,6.167,16.426,6.598,16.896,6.829,15.842
139,Ravens,Bills,3,7,6.848,15.508,6.167,16.426,6.526,16.119,6.915,16.03
140,Ravens,Dolphins,3,7,6.848,15.508,6.167,16.426,6.552,15.948,6.767,17.25
141,Ravens,Patriots,2,3,6.848,15.508,6.167,16.426,6.521,16.921,6.584,16.406
142,Ravens,Bears,1,3,6.848,15.508,6.167,16.426,6.456,15.743,6.689,16.482
143,Ravens,Browns,8,14,6.848,15.508,6.167,16.426,7.219,16.854,6.797,16.493
144,Ravens,Packers,3,3,6.848,15.508,6.167,16.426,6.951,17.113,6.836,17.409
145,Ravens,Giants,2,2,6.848,15.508,6.167,16.426,6.452,15.906,6.589,16.765
146,Ravens,Bengals,10,14,6.848,15.508,6.167,16.426,6.31,16.733,6.914,16.419
147,Ravens,Chiefs,8,2,6.848,15.508,6.167,16.426,6.684,17.701,6.98,16.736
148,Ravens,Jets,0,3,6.848,15.508,6.167,16.426,6.497,16.567,6.126,16.663
149,Ravens,Rams,1,5,6.848,15.508,6.167,16.426,6.571,17.061,6.548,16.586
150,Ravens,Cardinals,0,4,6.848,15.508,6.167,16.426,6.219,16.207,6.722,16.618
151,Ravens,Colts,1,6,6.848,15.508,6.167,16.426,6.516,16.371,6.454,16.614
152,Ravens,Chargers,1,4,6.848,15.508,6.167,16.426,6.277,17.108,7.115,16.667
153,Ravens,Eagles,1,4,6.848,15.508,6.167,16.426,6.725,16.717,6.608,16.666
154,Ravens,Jaguars,4,5,6.848,15.508,6.167,16.426,6.486,16.136,6.545,16.65
155,Ravens,Seahawks,0,3,6.848,15.508,6.167,16.426,6.986,17.195,6.272,16.078
156,Ravens,Titans,4,5,6.848,15.508,6.167,16.426,7.133,16.717,6.318,16.482
157,Ravens,Lions,0,5,6.848,15.508,6.167,16.426,6.339,16.998,6.771,16.879
158,Ravens,Commanders,2,9,6.848,15.508,6.167,16.426,6.593,16.551,6.74,16.872
159,Ravens,Texans,0,9,6.848,15.508,6.167,16.426,6.192,16.017,6.933,16.979
160,Ravens,Raiders,3,3,6.848,15.508,6.167,16.426,6.837,16.443,6.597,17.181
161,Ravens,49ers,0,3,6.848,15.508,6.167,16.426,6.718,18.058,6.253,16.078
162,Ravens,Steelers,14,5,6.848,15.508,6.167,16.426,6.415,16.214,6.535,16.52
163,Ravens,Falcons,0,5,6.848,15.508,6.167,16.426,6.511,16.275,6.806,16.462
164,Ravens,Buccaneers,2,3,6.848,15.508,6.167,16.426,6.327,16.488,6.39,15.924
165,Ravens,Saints,1,4,6.848,15.508,6.167,16.426,6.74,16.41,6.557,16.957
166,Ravens,Broncos,0,5,6.848,15.508,6.167,16.426,6.592,16.505,6.269,16.229
167,Ravens,Vikings,2,2,6.848,15.508,6.167,16.426,6.801,16.148,6.571,16.397
168,Ravens,NaN,0,0,6.848,15.508,6.167,16.426,,,,
169,Ravens,AFC Pro Bowl,0,0,6.848,15.508,6.167,16.426,,,,
170,Ravens,NFC Pro Bowl,0,0,6.848,15.508,6.167,16.426,,,,
171,Patriots,Cowboys,3,2,6.521,16.921,6.584,16.406,7.215,16.457,6.78,16.594
